Region,latitude,average_temperature_c,average_salinity_psu
SE,-40,18.063424789915967,35.23501722689076
SE,-39,18.708996666666668,35.27965833333334
SE,-38,17.66735622406639,34.95737854166667
SE,-37,18.483619214876033,35.41574909560723
SE,-36,17.984763885267277,35.42761968709257
SE,-35,17.726301653363738,35.47740598631699
SE,-34,18.82642635514019,35.6038046728972
SE,-33,18.431122692307692,35.55297692307692
SE,-32,18.74256774193548,35.67401935483871
SW,-40,17.826274390243903,35.194756097560976
SW,-39,18.17367614678899,35.39465259938838
SW,-38,18.976865829145726,35.468102512562815
SW,-37,18.335161432506887,35.54491790633609
SW,-36,18.255863465866465,35.582846511627906
SW,-35,18.76588098765432,35.5613244973545
SW,-34,16.56516163366337,35.5012900990099
SW,-33,17.97942135076253,35.57320413943355
SW,-32,23.137105940594058,35.7376194719472
